Event Start Date,Event Title,,,
2024/08/14,MAP Math (9th),,,
2024/08/15,Naviance How To during Advisement,,,
2024/08/19,Freshman Credit Presentation during Advisement,,,
2024/08/19,Senior Core Curriculum during English classes,,,
2024/08/21,MAP Reading (9th),,,
2024/08/23,Senior Core Curriculum during English classes,,,
2024/08/23,Freshman Credit Presentation during Advisement,,,
2024/08/28,Senior Parent Night/Probe College Fair,,,
2024/09/11,Freshmen Lifeline Series during Health classes,,,
2024/09/12,ESOL Parent Night,,,
2024/09/13,Freshmen Lifeline Series during Health classes,,,
2024/09/19,Fall Advisory Council,,,
2024/09/19,PAWS Day,,,
2024/09/22,Sophomore Core Curriculum during World History classes,,,
2024/09/27,Fall Festival,,,
2024/09/28,Fall Festival Parade,,,
2024/09/29,Fall Festival,,,
2024/10/01,AP Parent Night (virtual),,,
2024/10/08,Sophomore Parent Night/FAFSA Night,,,
2024/10/09,Social Studies DA Interims,,,
2024/10/10,Fall Break,,,
2024/10/16,Math DA Interims,,,
2024/10/17,Science DA Interims,,,
2024/10/18,Homecoming Game,,,
2024/10/19,Homecoming Dance,,,
2024/10/22,Language Arts DA Interims,,,
2024/10/23,Early Release for ES/MS,,,
2024/10/24,Early Release for ES/MS,,,
2024/10/24,Peer Leader Conference,,,
2024/10/26,Wildcatober,,,
2024/10/29,PSAT (10th/11th),,,
2024/11/11,Junior Core Curriculum during English classes,,,
2024/11/15,PAWS Day,,,
2024/11/15,Junior Core Curriculum during English classes,,,
2024/11/25-2024/11/29,Thanksgiving Break,,,
2024/12/18-2024/12/20,Finals,,,
2025/01/31,PAWS Day,,,
2025/03/28,PAWS Day,,,
2025/01/06-2025/01/17,MAP Growth Winter Assessment,,,
2025/01/08-2025/02/25,ACCESS for ELLs (1),,,
2025/02/03-2025/02/28,EES Student Screener and Survey,,,
2025/03/03-2025/03/21,2nd Semester Interim District Assessments,,,
2025/03/17-2025/03/21,Gwinnett Writes Assessment,,,
2025/03/18,SAT School Day,,,
2025/03/24-2025/04/29,GAA (2),,,
2025/04/17-2025/05/21,Georgia Milestones Spring Main Administration (3),,,
2025/05/12-2025/05/21,2nd Semester Final District Assessments,,,
2025/03/24-2025/04/04,CTAE End of Pathways Assessments,,,
2025/05/05-2025/05/16,Advanced Placement Exams,,,
